Keyword,Title,Link,Occupation,Company,Specs,Location
machine learning,AI Engineer (Custom AI Solutions & GPT Tools) – On-Site,https://wuzzuf.net/jobs/p/cfylkx2k6qh2-ai-engineer-custom-ai-solutions-gpt-tools-–-on-site-stellar-charter-nexus-cairo-egypt,Full TimeOn-site,Stellar Charter Nexus,Full TimeOn-siteExperienced · 2+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · APIs · Computer Science · Development · Engineering · Frameworks · Information Technology (IT),"New Cairo, Cairo, Egypt "
machine learning,Senior AI Engineer,https://wuzzuf.net/jobs/p/jQuD5uCDAOds-Senior-AI-Engineer-Lumin-Giza-Egypt,Full TimeHybrid,Lumin,Full TimeHybridExperienced · 3 - 5 Yrs of Exp · IT/Software Development · AI · Artificial Intelligence · Computer Vision · Machine Learning · TensorFlow · Python · Computer Science · Programming · PyTorch,"Sheikh Zayed, Giza, Egypt "
machine learning,Data Science Instructor,https://wuzzuf.net/jobs/p/qNmqSuZxLUyZ-Data-Science-Instructor-EpsilonAI-Cairo-Egypt,Full TimePart TimeFreelance / ProjectHybrid,EpsilonAI,Full TimePart TimeFreelance / ProjectHybridEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · Data Science · Computer Science · Computer Engineering · Python · Machine Learning · Deep Learning · Artificial Intelligence (AI),"Nasr City, Cairo, Egypt "
machine learning,Research Engineer,https://wuzzuf.net/internship/9yrmzgljvx6w-research-engineer-enoshsciense-research-center-cairo-egypt,InternshipHybrid,Enoshsciense Research Center,InternshipHybridEntry Level · IT/Software Development · Engineering - Mechanical/Electrical · Engineering · Data Analysis · Research · Computer Engineering · Communication skills · Machine Learning · Communication · Market Research,"New Cairo, Cairo, Egypt "
machine learning,Senior AI Vision Engineer – Computer Vision & Edge Deployment,https://wuzzuf.net/jobs/p/o7GZBxQzGrAB-Senior-AI-Vision-Engineer-–-Computer-Vision-Edge-Deployment-Skarpt-Company-Giza-Egypt,Full TimeOn-site,Skarpt Company ,Full TimeOn-siteSenior Management · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AI · Artificial Neural Network · Artificial Intelligence (AI) · Machine Learning · Computer Vision,"6th of October, Giza, Egypt "
machine learning,AI Agent Developer,https://wuzzuf.net/jobs/p/TQgoUs39mfEx-AI-Agent-Developer-Cairo-Egypt,Full TimeHybrid,Confidential,Full TimeHybridExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Other · npl · AI · Python · Keras · PyTorch · Machine Learning · Artificial Intelligence (AI) · AI Agent,"Heliopolis, Cairo, Egypt "
machine learning,Artificial Intelligence Engineer (NLP),https://wuzzuf.net/internship/z3Gza8M97sRJ-Artificial-Intelligence-Engineer-NLP-DIRAC-SYSTEMS-Cairo-Egypt,InternshipOn-site,DIRAC SYSTEMS,InternshipOn-siteEntry Level · IT/Software Development · Java · AI · Python · Machine Learning · Computer Science · Engineering · English · Programming · Software,"Heliopolis, Cairo, Egypt "
machine learning,AI Trainer.,https://wuzzuf.net/jobs/p/cyKxYLTtPjPa-AI-Trainer-Avanguard-Cairo-Egypt,Full TimeOn-site,Avanguard,Full TimeOn-siteExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Training/Instructor · AI · Information Technology (IT) · Computer Programs · Artificial Intelligence (AI) · NLP · Machine · Machine Learning · Training,"New Cairo, Cairo, Egypt "
machine learning,Fresh Electrical PLC & Planning Maintenace Engineer,https://wuzzuf.net/jobs/p/1xqbr0j7hc7z-fresh-electrical-plc-planning-maintenace-engineer-modern-hygienic-international-suez-egypt,Full TimeOn-site,Modern Hygienic international,Full TimeOn-siteEntry Level · 0 - 1 Yrs of Exp · Installation/Maintenance/Repair · PLC Automation · PLC Programming · Electrical Engineering · Electric Machines · Electrical Maintenance,"Ain Sokhna, Suez, Egypt "
machine learning,Cloud Infrastructure Engineer,https://wuzzuf.net/jobs/p/TA5UCVLMzUxX-Cloud-Infrastructure-Engineer-34ML-Cairo-Egypt,Full TimeHybrid,34ML,Full TimeHybridEntry Level · 0 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Information Technology (IT) · Web Development · Computer Engineering · Software Engineering · PHP · Laravel · Image Recognition,"Heliopolis, Cairo, Egypt "
